global_key,conf_key,year,publisher,title,link
icse,conf/icse/2012,2012,IEEE Computer Society,"34th International Conference on Software Engineering, ICSE 2012, June 2-9, 2012, Zurich, Switzerland",http://dl.acm.org/citation.cfm?id=2337223
icse,conf/icse/2012ast,2012,IEEE Computer Society,"7th International Workshop on Automation of Software Test, AST 2012, Zurich, Switzerland, June 2-3, 2012",http://dl.acm.org/citation.cfm?id=2663608
icse,conf/icse/2012chase,2012,IEEE Computer Society,"5th International Workshop on Co-operative and Human Aspects of Software Engineering, CHASE 2012, Zurich, Switzerland, June 2, 2012",http://dl.acm.org/citation.cfm?id=2663638
icse,conf/icse/2012ctgdsd,2012,IEEE,"Proceedings of the Second International Workshop on Collaborative Teaching of Globally Distributed Software Development, CTGDSD 2012, Zurich, Switzerland, June 9, 2012",http://dl.acm.org/citation.cfm?id=2663670
icse,conf/icse/2012edurex,2012,IEEE,"Proceedings of the First International Workshop on Software Engineering Education Based on Real-World Experiences, EduRex 2012, Zurich, Switzerland, June 9, 2012",http://dl.acm.org/citation.cfm?id=2663678
icse,conf/icse/2012formsera,2012,IEEE,"Proceedings of the First International Workshop on Formal Methods in Software Engineering - Rigorous and Agile Approaches, FormSERA 2012, Zurich, Switzerland, June 2, 2012",http://dl.acm.org/citation.cfm?id=2663689
icse,conf/icse/2012gas,2012,IEEE/ACM,"Proceedings of the Second International Workshop on Games and Software Engineering: Realizing User Engagement with Game Engineering Techniques, GAS 2012, Zurich, Switzerland, June 9, 2012",http://dl.acm.org/citation.cfm?id=2663700
icse,conf/icse/2012mise,2012,IEEE Computer Society,"Proceedings of the 4th International Workshop on Modeling in Software Engineering, MiSE 2012, Zurich, Switzerland, June 2-3, 2012",http://dl.acm.org/citation.cfm?id=2664431
icse,conf/icse/2012mtd,2012,IEEE/ACM,"Proceedings of the Third International Workshop on Managing Technical Debt, MTD 2012, Zurich, Switzerland, June 5, 2012",http://dl.acm.org/citation.cfm?id=2666036
icse,conf/icse/2012pesos,2012,IEEE,"4th International ICSE Workshop on Principles of Engineering Service-Oriented Systems, PESOS 2012, June 4, 2012, Zurich, Switzerland",http://dl.acm.org/citation.cfm?id=2666048
icse,conf/icse/2012please,2012,IEEE/ACM,"Proceedings of the Third International Workshop on Product LinE Approaches in Software Engineering, PLEASE 2012, Zurich, Switzerland, June 4, 2012",http://dl.acm.org/citation.cfm?id=2666064
icse,conf/icse/2012raise,2012,IEEE,"Proceedings of the First International Workshop on Realizing AI Synergies in Software Engineering, RAISE 2012, Zurich, Switzerland, June 5, 2012",http://dl.acm.org/citation.cfm?id=2666527
icse,conf/icse/2012rsse,2012,IEEE,"Proceedings of the Third International Workshop on Recommendation Systems for Software Engineering, RSSE 2012, Zurich, Switzerland, June 4, 2012",http://dl.acm.org/citation.cfm?id=2666719
icse,conf/icse/2012s-cube,2012,IEEE,"First International Workshop on European Software Services and Systems Research - Results and Challenges, S-Cube 2012, Zurich, Switzerland, June 5, 2012",http://dl.acm.org/citation.cfm?id=2666742
icse,conf/icse/2012se4sg,2012,IEEE,"Proceedings of the First International Workshop on Software Engineering Challenges for the Smart Grid, SE4SG 2012, Zurich, Switzerland, June 3, 2012",http://dl.acm.org/citation.cfm?id=2666759
icse,conf/icse/2012seams,2012,IEEE Computer Society,"7th International Symposium on Software Engineering for Adaptive and Self-Managing Systems, SEAMS 2012, Zurich, Switzerland, June 4-5, 2012",http://dl.acm.org/citation.cfm?id=2666795
icse,conf/icse/2012sees,2012,IEEE,"Second International Workshop on Software Engineering for Embedded Systems, SEES 2012, Zurich, Switzerland, June 9, 2012",http://dl.acm.org/citation.cfm?id=2667025
icse,conf/icse/2012sehc,2012,IEEE Computer Society,"Proceedings of the 4th International Workshop on Software Engineering in Health Care, SEHC 2012, Zurich, Switzerland, June 4-5, 2012",http://dl.acm.org/citation.cfm?id=2667036
icse,conf/icse/2012topi,2012,IEEE Computer Society,"Proceedings of the Second International Workshop on Developing Tools as Plug-Ins, TOPI 2012, Zurich, Switzerland, June 3, 2012",http://dl.acm.org/citation.cfm?id=2667062
icse,conf/icse/2012usare,2012,IEEE,"First International Workshop on Usability and Accessibility Focused Requirements Engineering, UsARE 2012, Zurich, Switzerland, June 4, 2012",http://dl.acm.org/citation.cfm?id=2667081
icse,conf/icse/2012user,2012,IEEE,"Proceedings of the First International Workshop on User Evaluation for Software Engineering Researchers, USER '12, Zurich, Switzerland, June 5, 2012",http://dl.acm.org/citation.cfm?id=2667089
icse,conf/icse/2012weh,2012,IEEE,"Proceedings of the 5th International Workshop on Exception Handling, WEH 2012, Zurich, Switzerland, June 9, 2012",http://dl.acm.org/citation.cfm?id=2666990
icse,conf/icse/2012wetsom,2012,IEEE Computer Society,"Proceedings of the 3rd International Workshop on Emerging Trends in Software Metrics, WETSoM 2012, Zurich, Switzerland, June 3, 2012",http://dl.acm.org/citation.cfm?id=2669379
icse,conf/icse/2012wrt,2012,ACM,"Fifth Workshop on Refactoring Tools 2012, WRT '12, Rapperswil, Switzerland, June 1, 2012",http://dl.acm.org/citation.cfm?id=2328876
icse,conf/icse/2013,2013,IEEE Computer Society,"35th International Conference on Software Engineering, ICSE '13, San Francisco, CA, USA, May 18-26, 2013",http://dl.acm.org/citation.cfm?id=2486788
icse,conf/icse/2013assure,2013,IEEE Computer Society,"Proceedings of the 1st International Workshop on Assurance Cases for Software-Intensive Systems, ASSURE '13, San Francisco, California, USA, May 19, 2013",http://dl.acm.org/citation.cfm?id=2662398
icse,conf/icse/2013ast,2013,IEEE Computer Society,"8th International Workshop on Automation of Software Test, AST 2013, San Francisco, CA, USA, May 18-19, 2013",http://dl.acm.org/citation.cfm?id=2662413
icse,conf/icse/2013cesi,2013,IEEE Computer Society,"Proceedings of the 1st International Workshop on Conducting Empirical Studies in Industry, CESI 2013, San Francisco, California, USA, May 20, 2013",http://dl.acm.org/citation.cfm?id=2662528
icse,conf/icse/2013chase,2013,IEEE Computer Society,"6th International Workshop on Cooperative and Human Aspects of Software Engineering, CHASE 2013, San Francisco, CA, USA, May 25, 2013",https://www.computer.org/csdl/proceedings/chase/2013/6290/00/index.html
icse,conf/icse/2013cmsbse,2013,IEEE Computer Society,"1st International Workshop on Combining Modelling and Search-Based Software Engineering, CMSBSE@ICSE 2013, San Francisco, CA, USA, May 20, 2013",http://dl.acm.org/citation.cfm?id=2662572
icse,conf/icse/2013ctgdsd,2013,IEEE Computer Society,"3rd International Workshop on Collaborative Teaching of Globally Distributed Software Development, CTGDSD 2013, San Francisco, CA, USA, May 25, 2013",https://www.computer.org/csdl/proceedings/ctgdsd/2013/6294/00/index.html
icse,conf/icse/2013dapse,2013,IEEE,"1st International Workshop on Data Analysis Patterns in Software Engineering, DAPSE@ICSE 2013, San Francisco, CA, USA, May 21, 2013",http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=6596199
icse,conf/icse/2013formalise,2013,IEEE Computer Society,"1st FME Workshop on Formal Methods in Software Engineering, FormaliSE 2013, San Francisco, CA, USA, May 25, 2013",http://www.computer.org/csdl/proceedings/formalise/2013/6292/00/index.html
icse,conf/icse/2013gas,2013,IEEE Computer Society,"Proceedings of the 3rd International Workshop on Games and Software Engineering: Engineering Computer Games to Enable Positive, Progressive Change, GAS 2013, San Francisco, CA, USA, May 18, 2013",http://dl.acm.org/citation.cfm?id=2662593
