global_key,year,publisher,unique_global_key,count
focs,2009,IEEE Computer Society,,
focs,2010,IEEE Computer Society,,
focs,2011,IEEE Computer Society,,
focs,2012,IEEE Computer Society,,
focs,2013,IEEE Computer Society,,
focs,2014,IEEE Computer Society,,
focs,2015,IEEE Computer Society,,
fse,2001,Springer,,
fse,2002,Springer,,
fse,2002,Springer,,
fse,2003,Springer,,
fse,2004,Springer,,
fse,2005,Springer,,
fse,2006,Springer,,
fse,2007,Springer,,
fse,2008,Springer,,
fse,2009,Springer,,
fse,2010,Springer,,
fse,2011,Springer,,
fse,2012,Springer,,
fse,2014,Springer,,
fse,2015,Springer,,
fse,2015,Springer,,
fse,2016,Springer,,
fsttcs,2000,Springer,,
fsttcs,2001,Springer,,
fsttcs,2002,Springer,,
fsttcs,2003,Springer,,
fsttcs,2004,Springer,,
fsttcs,2005,Springer,,
fsttcs,2006,Springer,,
fsttcs,2007,Springer,,
fsttcs,2008,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
fsttcs,2009,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
fsttcs,2010,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
fsttcs,2011,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
fsttcs,2012,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
fsttcs,2013,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
fsttcs,2014,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
fsttcs,2015,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
gpce,2002,Springer,,
gpce,2003,Springer,,
gpce,2004,Springer,,
gpce,2005,Springer,,
gpce,2006,ACM,,
gpce,2007,ACM,,
gpce,2008,ACM,,
gpce,2009,ACM,,
gpce,2010,ACM,,
gpce,2010,ACM,,
gpce,2011,ACM,,
gpce,2012,ACM,,
gpce,2012,ACM,,
gpce,2013,ACM,,
gpce,2013,ACM,,
gpce,2014,ACM,,
gpce,2014,ACM,,
gpce,2015,ACM,,
gpce,2016,ACM,,
icalp,2000,Springer,,
icalp,2001,Springer,,
icalp,2002,Springer,,
icalp,2003,Springer,,
icalp,2004,Springer,,
icalp,2005,Springer,,
icalp,2006,Springer,,
icalp,2006,Springer,,
icalp,2007,Springer,,
icalp,2008,Springer,,
icalp,2008,Springer,,
icalp,2009,Springer,,
icalp,2009,Springer,,
icalp,2010,Springer,,
icalp,2010,Springer,,
icalp,2011,Springer,,
icalp,2011,Springer,,
icalp,2012,Springer,,
icalp,2012,Springer,,
icalp,2013,Springer,,
icalp,2013,Springer,,
icalp,2014,Springer,,
icalp,2014,Springer,,
icalp,2015,Springer,,
icalp,2015,Springer,,
icalp,2015,EasyChair,,
icalp,2016,Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik,,
iccv,2003,IEEE Computer Society,,
iccv,2005,IEEE Computer Society,,
iccv,2005,Springer,,
iccv,2007,IEEE Computer Society,,
iccv,2007,Springer,,
iccv,2009,IEEE Computer Society,,
iccv,2011,IEEE Computer Society,,
iccv,2013,IEEE Computer Society,,
iccv,2015,IEEE Computer Society,,
icde,2001,IEEE Computer Society,,
icde,2001,\N,,
icde,2002,IEEE Computer Society,,
icde,2003,IEEE Computer Society,,
icde,2004,IEEE Computer Society,,
icde,2005,IEEE Computer Society,,
icde,2005,IEEE Computer Society,,
icde,2006,IEEE Computer Society,,
icde,2006,IEEE Computer Society,,
icde,2007,IEEE Computer Society,,
icde,2007,IEEE Computer Society,,
icde,2008,IEEE Computer Society,,
icde,2008,IEEE Computer Society,,
icde,2009,IEEE Computer Society,,
icde,2010,IEEE Computer Society,,
icde,2010,IEEE Computer Society,,
icde,2011,IEEE Computer Society,,
icde,2011,IEEE Computer Society,,
icde,2012,IEEE Computer Society,,
icde,2012,IEEE Computer Society,,
icde,2013,IEEE Computer Society,,
icde,2013,IEEE Computer Society,,
icde,2014,IEEE Computer Society,,
icde,2014,IEEE Computer Society,,
icde,2015,IEEE Computer Society,,
icde,2015,IEEE Computer Society,,
icde,2016,IEEE Computer Society,,
icde,2016,IEEE Computer Society,,
icdt,2001,Springer,,
icdt,2002,Springer,,
icdt,2005,Springer,,
icdt,2007,Springer,,
icdt,2007,CEUR-WS.org,,
icdt,2009,ACM,,
icdt,2010,ACM,,
icdt,2011,ACM,,
icdt,2012,ACM,,
icdt,2013,ACM,,
icdt,2014,OpenProceedings.org,,
